Dat 	 	STORAGE_AF 	 	LK_EVAP_AF 	 	DC_PUMP_CFS 	 
10/2008		234433		1507		6006	
11/2008		209395		575		3806	
12/2008		217975		212		3494	
01/2009		245599		349		3422	
02/2009		422261		563		2948	
03/2009		745863		1751		3324	
04/2009		780450		3162		4478	
05/2009		933141		4685		5719	
06/2009		855287		5203		6496	
07/2009		601048		5839		7651	
08/2009		451610		4157		7201	
09/2009		411575		3283		6328	
10/2009		347298		1519		4528	
11/2009		284372		599		3395	
12/2009		264286		242		2264	
01/2010		321671		395		2207	
02/2010		418632		522		2242	
03/2010		562043		1454		2316	
04/2010		823244		1813		2567	
05/2010		905419		3285		4392	
06/2010		923096		4816		7146	
07/2010		753671		5653		8736	
08/2010		656485		4437		7714	
09/2010		624242		3517		7192	
10/2010		601842		2097		5418	
11/2010		550473		901		2652	
12/2010		442338		797		1940	
01/2011		479495		381		1903	
02/2011		613472		873		2192	
03/2011		634655		964		2305	
04/2011		750607		2194		3647	
05/2011		880086		3269		5693	
06/2011		928445		4500	 	5986	
07/2011		932156		4429		7991	
08/2011		839351		4998		7894	
09/2011		740360		4003		6913	
10/2011		577381		1882		4602	
11/2011		481277		837		3195	
12/2011		415871		692		3000	
01/2012		413115		635		3012	
02/2012		387440		986		2426	
03/2012		664005		1164		2386	
04/2012		933361		2418		2899	
05/2012		926152		4620		5588	
06/2012		815189		5419		6470	
07/2012		621809		4596		7247	
08/2012		502720		4251		7580	
09/2012		451610		3003		6946	
10/2012		396130		2120		4724	
11/2012		403768		639		2538	
12/2012		584141		450		2374	
01/2013		566394		583		2338	
02/2013		552065		1065		2282	
03/2013		601136		1688		3183	
04/2013		681715		2953		3857	
05/2013		734377		4429		5744	
06/2013		665028		4879		6483	
07/2013		524726		5058		7127	
08/2013		429368		3380		6929	
09/2013		361108		2644		5421	
10/2013		291500		2229		4864	
11/2013		235676		728		3379	
12/2013		186829		371		2538	
01/2014		163500		377		2354	
02/2014		304987		597		1273	
03/2014		436041		1500		1878	
04/2014		546617		2067		2568	
05/2014		547874		4013		4277	
06/2014		470728		4899		5403	
07/2014		406397		4068		5639	
08/2014		381013		3072		5453	
09/2014		344984		2343		4526	
10/2014		304814		1418		3866	
11/2014		278197		458		2388	
12/2014		429802		978		1810	
01/2015		447742		541		1883	
02/2015		564261		825		1760	
03/2015		571528		1462		2658	
04/2015		575746		2527		2815	
05/2015		535394		2055		2670	
06/2015		438457		1240		3501	
07/2015		285860		3985		3823	
08/2015		195221		2775		4288	
09/2015		173699		1833		3865	
10/2015		148247		1095		3277	
11/2015		136980		351		2008	
12/2015		239069		357		1747	
01/2016		528563		409		1619	
02/2016		605555		1269		1690	
03/2016		691371		1331		2089	
04/2016		826449		2065		3014	
05/2016		826034		4318		4221	
06/2016		715224		6510		5529	
07/2016		484623		6294		6474	
08/2016		346733		3997		6599	
09/2016		305974		2979		5640	
10/2016		353554		1174		3314	
11/2016		446779		789		2354	
12/2016		400101		504		2108	
01/2017		408425		311		2027	
02/2017		404391		115		1773	
03/2017		590592		1285		2195	
04/2017		723656		2388		2377	
05/2017		936873		4921		4713	
06/2017		953387		6508		5839	
07/2017		883079		7490		7017	
08/2017		777729		6262		6843	
09/2017		663819		4374		5775	
10/2017		556962		3001		4796	
11/2017		614816		593		2534	
12/2017		545109		1047		1960	
01/2018		581972		444		1633	
02/2018		526275		1263		1794	
03/2018		816735		1611		1793	
04/2018		866376		3017		2666	
05/2018		954601		4782		5580	
06/2018		840605		6744		7238	
07/2018		630928		6607		7872	
08/2018		506232		4850		7054	
09/2018		466912		3806		5540	
10/2018		397019		2321		4967	
11/2018		330420		879		3713	
12/2018		311616		290		2172	
01/2019		522524		167		2062	
02/2019		598048		298		1826	
03/2019		734669		1392		2075	
04/2019		886926		3225		3124	
05/2019		934568		3711		4563	
06/2019		920266		6958		6608	
07/2019		 		 		 	
08/2019		 		 		 	
09/2019		 		 		 	
