Dat 	 	STORAGE_AF 	 	RAIN_IN 	 
05/2008		529642		1.34	
06/2008		414491		0.00	
07/2008		182384		0.00	
08/2008		128624		0.00	
09/2008		121142		0.00	
10/2008		122401		0.35	
11/2008		152883		1.66	
12/2008		178688		2.59	
01/2009		227437		1.52	
02/2009		286082		4.29	
03/2009		356955		0.68	 
04/2009		457675		0.85	
05/2009		745662		0.55	
06/2009		605243		0.92	
07/2009		347255		0.00	
08/2009		211627		0.01	
09/2009		199699		0.00	
10/2009		265793		3.35	
11/2009		284867		0.18	
12/2009		340322		4.87	
01/2010		415858		4.52	
02/2010		504494		3.86	
03/2010		582712		1.65	
04/2010		671547		4.04	
05/2010		728160		0.31	 
06/2010		905201		0.00	
07/2010		712011		0.06	
08/2010		459036		0.00	
09/2010		356716		0.00	
10/2010		351410		2.06	
11/2010		409119		3.58	
12/2010		634048		12.13	
01/2011		646436		2.50	
02/2011		686619		2.72	
03/2011		778992		6.10	
04/2011		662570		0.64	
05/2011		705957		1.09	
06/2011		963255		2.01	
07/2011		910032		0.05	
08/2011		713969		0.00	
09/2011		614073		0.00	
10/2011		555635		1.98	
11/2011		552805		1.15	
12/2011		557009		0.00	
01/2012		584474		2.94	
02/2012		597594		1.61	
03/2012		641243		3.51	
04/2012		743656		3.20	
05/2012		815358		0.02	
06/2012		597683		0.01	
07/2012		313605		0.00	
08/2012		205860		0.01	
09/2012		193044		0.00	
10/2012		201868		0.36	
11/2012		214281		1.94	
12/2012		256977		5.07	
01/2013		292692		0.82	
02/2013		323843		1.28	
03/2013		362787		0.41	
04/2013		434936		0.21	
05/2013		484444		0.07	
06/2013		358084		0.00	
07/2013		189211		0.00	
08/2013		152752		0.11	
09/2013		153911		0.08	
10/2013		159353		0.70	
11/2013		168622		0.44	
12/2013		173442		0.52	
01/2014		176043		0.59	
02/2014		190435		3.60	
03/2014		221099		1.23	
04/2014		306434		1.23	
05/2014		430031		0.35	
06/2014		351920		0.04	
07/2014		140470		0.00	
08/2014		113970		0.00	
09/2014		114150		0.08	
10/2014		112789		0.44	
11/2014		119330		1.76	
12/2014		129804		3.09	
01/2015		131918		0.05	
02/2015		160449		3.19	
03/2015		184983		0.15	
04/2015		211161		0.86	
05/2015		265091		0.18	
06/2015		266408		0.01	
07/2015		156200		0.69	
08/2015		125611		0.00	
09/2015		118660		0.83	
10/2015		119119		0.37	
11/2015		132586		3.96	
12/2015		150598		4.06	
01/2016		201894		7.51	
02/2016		268816		0.48	
03/2016		386927		3.85	
04/2016		520303		1.96	
05/2016		629320		1.13	
06/2016		580006		0.09	
07/2016		328470		0.04	
08/2016		197293		0.00	
09/2016		159576		0.01	
10/2016		185975		1.25	
11/2016		208244		1.66	
12/2016		275988		4.83	 
01/2017		618104		10.99	
02/2017		776012		7.10	
03/2017		585267		1.94	
04/2017		504494		2.93	
05/2017		757053		0.11	
06/2017		991966		0.06	
07/2017		896142		0.07	
08/2017		712892		0.19	
09/2017		590661		0.59	
10/2017		469524		0.19	 
11/2017		475725		1.03	
12/2017		493205		0.04	
01/2018		517568		2.30	
02/2018		524795		0.39	
03/2018		659514		8.53	
04/2018		875103		1.44	
05/2018		881660		0.13	
06/2018		697364		0.03	
07/2018		429617		0.06	
08/2018		276496		0.22	
09/2018		222242		0.36	
10/2018		239567		0.32	
11/2018		270526		3.69	
12/2018		317737		3.69	
01/2019		384118		4.87	
02/2019		572987		7.80	
03/2019		553833		3.51	
04/2019		661959		0.64	
05/2019		742854		2.57	
06/2019		941635		0.54	
07/2019		 		 	
08/2019		 		 	
09/2019		 		 	
